,locations,parameters,as.numeric.median.out..,data2$new_result_units[1]
146,KICHDRS8D_OUT,Cadmium - Water - Dissolved,NA,ug/L
147,KICHDRS8D_OUT,"Dibenzo(a,h)anthracene - Solid/Sediment - Total",277,ug/Kg
148,KICHDRS8D_OUT,LPAH - Water - Total,0.0679,ug/L
149,KICLDRS8D_OUT,Lead - Solid/Sediment - Total,23400,ug/Kg
150,KICLDRS8D_OUT,Copper - Solid/Sediment - Total,26000,ug/Kg
151,KICLDRS8D_OUT,Zinc - Solid/Sediment - Total,112000,ug/Kg
152,KICLDRS8D_OUT,Cadmium - Solid/Sediment - Total,390,ug/Kg
153,KICLDRS8D_OUT,Total Phthalate - Water - Total,0.455,ug/L
154,KICLDRS8D_OUT,Total PAH - Solid/Sediment - Total,32723.9,ug/Kg
155,KICLDRS8D_OUT,Ortho-phosphate - Water - Dissolved,26.2,ug/L
156,KICLDRS8D_OUT,Bis(2-ethylhexyl) phthalate - Solid/Sediment - Total,159,ug/Kg
157,KICLDRS8D_OUT,Total Phthalate - Solid/Sediment - Total,208,ug/Kg
158,KICLDRS8D_OUT,HPAH - Solid/Sediment - Total,31400,ug/Kg
159,KICLDRS8D_OUT,Nitrite-Nitrate - Water - Dissolved,679,ug/L
160,KICLDRS8D_OUT,Total Suspended Solids - Water - Total,12400,ug/L
161,KICLDRS8D_OUT,Pyrene - Solid/Sediment - Total,5750,ug/Kg
162,KICLDRS8D_OUT,Chrysene - Solid/Sediment - Total,3240,ug/Kg
163,KICLDRS8D_OUT,Zinc - Water - Total,10.2,ug/L
164,KICLDRS8D_OUT,Copper - Water - Dissolved,1.7,ug/L
165,KICLDRS8D_OUT,Phenanthrene - Solid/Sediment - Total,1180,ug/Kg
166,KICLDRS8D_OUT,Copper - Water - Total,2.91,ug/L
167,KICLDRS8D_OUT,Total Phosphorus - Water - Total,71.6,ug/L
168,KICLDRS8D_OUT,CPAH - Solid/Sediment - Total,10916,ug/Kg
169,KICLDRS8D_OUT,Zinc - Water - Dissolved,5.54,ug/L
170,KICLDRS8D_OUT,Fluoranthene - Solid/Sediment - Total,6820,ug/Kg
171,KICLDRS8D_OUT,LPAH - Solid/Sediment - Total,1350,ug/Kg
172,KICLDRS8D_OUT,Lead - Water - Total,1.34,ug/L
173,KICLDRS8D_OUT,Total Kjeldahl Nitrogen - Water - Total,429,ug/L
174,KICLDRS8D_OUT,Cadmium - Water - Total,NA,ug/L
175,KICLDRS8D_OUT,Total TPHDx - Water - Total,NA,ug/L
176,KICLDRS8D_OUT,Biochemical Oxygen Demand - Water - Total,NA,ug/L
177,KICLDRS8D_OUT,"Indeno(1,2,3-cd)pyrene - Solid/Sediment - Total",1990,ug/Kg
178,KICLDRS8D_OUT,Total PAH - Water - Total,0.8674,ug/L
179,KICLDRS8D_OUT,Total Benzofluoranthenes - Solid/Sediment - Total,5650,ug/Kg
180,KICLDRS8D_OUT,Benzo(b)fluoranthene - Solid/Sediment - Total,NA,ug/Kg
181,KICLDRS8D_OUT,Bis(2-ethylhexyl) phthalate - Water - Total,NA,ug/L
182,KICLDRS8D_OUT,p-Cresol - Solid/Sediment - Total,NA,ug/Kg
183,KICLDRS8D_OUT,Diesel Range Organics - Water - Total,NA,ug/L
184,KICLDRS8D_OUT,Magnesium - Water - Total,1450,ug/L
185,KICLDRS8D_OUT,Benzo(a)pyrene - Solid/Sediment - Total,2830,ug/Kg
186,KICLDRS8D_OUT,Lead - Water - Dissolved,NA,ug/L
187,KICLDRS8D_OUT,Mercury - Solid/Sediment - Total,NA,ug/Kg
188,KICLDRS8D_OUT,Benzo(k)fluoranthene - Solid/Sediment - Total,NA,ug/Kg
189,KICLDRS8D_OUT,HPAH - Water - Total,0.8189,ug/L
190,KICLDRS8D_OUT,Anthracene - Solid/Sediment - Total,121,ug/Kg
191,KICLDRS8D_OUT,Benz(a)anthracene - Solid/Sediment - Total,2070,ug/Kg
192,KICLDRS8D_OUT,"Benzo(g,h,i)perylene - Solid/Sediment - Total",2240,ug/Kg
193,KICLDRS8D_OUT,Pyrene - Water - Total,0.151,ug/L
194,KICLDRS8D_OUT,Butyl benzyl phthalate - Solid/Sediment - Total,49,ug/Kg
195,KICLDRS8D_OUT,Cadmium - Water - Dissolved,NA,ug/L
196,KICLDRS8D_OUT,"Dibenzo(a,h)anthracene - Solid/Sediment - Total",669,ug/Kg
197,KICLDRS8D_OUT,LPAH - Water - Total,0.0665,ug/L
198,LDR010,Lead - Solid/Sediment - Total,NA,ug/Kg
199,LDR010,Copper - Solid/Sediment - Total,NA,ug/Kg
200,LDR010,Zinc - Solid/Sediment - Total,NA,ug/Kg
201,LDR010,Cadmium - Solid/Sediment - Total,NA,ug/Kg
202,LDR010,Total Phthalate - Water - Total,0.303,ug/L
203,LDR010,Total PAH - Solid/Sediment - Total,138,ug/Kg
204,LDR010,Ortho-phosphate - Water - Dissolved,39,ug/L
205,LDR010,Bis(2-ethylhexyl) phthalate - Solid/Sediment - Total,150,ug/Kg
206,LDR010,Total Phthalate - Solid/Sediment - Total,178,ug/Kg
207,LDR010,HPAH - Solid/Sediment - Total,98,ug/Kg
208,LDR010,Nitrite-Nitrate - Water - Dissolved,80,ug/L
209,LDR010,Total Suspended Solids - Water - Total,17600,ug/L
210,LDR010,Pyrene - Solid/Sediment - Total,25,ug/Kg
211,LDR010,Chrysene - Solid/Sediment - Total,23,ug/Kg
212,LDR010,Zinc - Water - Total,7.9,ug/L
213,LDR010,Copper - Water - Dissolved,3.32,ug/L
214,LDR010,Phenanthrene - Solid/Sediment - Total,40,ug/Kg
215,LDR010,Copper - Water - Total,4.71,ug/L
216,LDR010,Total Phosphorus - Water - Total,123,ug/L
217,LDR010,CPAH - Solid/Sediment - Total,45,ug/Kg
218,LDR010,Zinc - Water - Dissolved,2.55,ug/L
219,LDR010,Fluoranthene - Solid/Sediment - Total,28,ug/Kg
220,LDR010,LPAH - Solid/Sediment - Total,40,ug/Kg
221,LDR010,Lead - Water - Total,0.688,ug/L
222,LDR010,Total Kjeldahl Nitrogen - Water - Total,920,ug/L
223,LDR010,Cadmium - Water - Total,0.025,ug/L
224,LDR010,Total TPHDx - Water - Total,104,ug/L
225,LDR010,Biochemical Oxygen Demand - Water - Total,2100,ug/L
226,LDR010,"Indeno(1,2,3-cd)pyrene - Solid/Sediment - Total",NA,ug/Kg
227,LDR010,Total PAH - Water - Total,0.049,ug/L
228,LDR010,Total Benzofluoranthenes - Solid/Sediment - Total,NA,ug/Kg
229,LDR010,Benzo(b)fluoranthene - Solid/Sediment - Total,NA,ug/Kg
230,LDR010,Bis(2-ethylhexyl) phthalate - Water - Total,0.21,ug/L
231,LDR010,p-Cresol - Solid/Sediment - Total,150,ug/Kg
232,LDR010,Diesel Range Organics - Water - Total,28,ug/L
233,LDR010,Benzo(a)pyrene - Solid/Sediment - Total,NA,ug/Kg
234,LDR010,Lead - Water - Dissolved,0.042,ug/L
235,LDR010,Mercury - Solid/Sediment - Total,NA,ug/Kg
236,LDR010,Benzo(k)fluoranthene - Solid/Sediment - Total,NA,ug/Kg
237,LDR010,HPAH - Water - Total,0.023,ug/L
238,LDR010,Anthracene - Solid/Sediment - Total,NA,ug/Kg
239,LDR010,Benz(a)anthracene - Solid/Sediment - Total,22,ug/Kg
240,LDR010,Heavy Fuel Oil - Water - Total,76,ug/L
241,LDR010,"Benzo(g,h,i)perylene - Solid/Sediment - Total",NA,ug/Kg
242,LDR010,Pyrene - Water - Total,NA,ug/L
243,LDR010,Butyl benzyl phthalate - Solid/Sediment - Total,NA,ug/Kg
244,LDR010,Cadmium - Water - Dissolved,0.013,ug/L
245,LDR010,"Dibenzo(a,h)anthracene - Solid/Sediment - Total",NA,ug/Kg
246,LDR010,LPAH - Water - Total,0.036,ug/L
247,MH5171,Lead - Solid/Sediment - Total,NA,ug/Kg
248,MH5171,Copper - Solid/Sediment - Total,NA,ug/Kg
249,MH5171,Zinc - Solid/Sediment - Total,NA,ug/Kg
250,MH5171,Cadmium - Solid/Sediment - Total,NA,ug/Kg
251,MH5171,Total Phthalate - Water - Total,1.057,ug/L
252,MH5171,Total PAH - Solid/Sediment - Total,NA,ug/Kg
253,MH5171,Ortho-phosphate - Water - Dissolved,38,ug/L
254,MH5171,Bis(2-ethylhexyl) phthalate - Solid/Sediment - Total,NA,ug/Kg
255,MH5171,Total Phthalate - Solid/Sediment - Total,NA,ug/Kg
256,MH5171,HPAH - Solid/Sediment - Total,NA,ug/Kg
257,MH5171,Nitrite-Nitrate - Water - Dissolved,346,ug/L
258,MH5171,Total Suspended Solids - Water - Total,23600,ug/L
259,MH5171,Pyrene - Solid/Sediment - Total,210,ug/Kg
260,MH5171,Chrysene - Solid/Sediment - Total,NA,ug/Kg
261,MH5171,Zinc - Water - Total,193,ug/L
262,MH5171,Copper - Water - Dissolved,4.6,ug/L
263,MH5171,Phenanthrene - Solid/Sediment - Total,120,ug/Kg
264,MH5171,Copper - Water - Total,6.31,ug/L
265,MH5171,Total Phosphorus - Water - Total,132,ug/L
266,MH5171,CPAH - Solid/Sediment - Total,NA,ug/Kg
267,MH5171,Zinc - Water - Dissolved,164,ug/L
268,MH5171,Fluoranthene - Solid/Sediment - Total,260,ug/Kg
269,MH5171,LPAH - Solid/Sediment - Total,120,ug/Kg
270,MH5171,Lead - Water - Total,1.62,ug/L
271,MH5171,Total Kjeldahl Nitrogen - Water - Total,1040,ug/L
272,MH5171,Cadmium - Water - Total,0.057,ug/L
273,MH5171,Total TPHDx - Water - Total,380,ug/L
274,MH5171,Biochemical Oxygen Demand - Water - Total,4900,ug/L
275,MH5171,"Indeno(1,2,3-cd)pyrene - Solid/Sediment - Total",140,ug/Kg
276,MH5171,Total PAH - Water - Total,0.095,ug/L
277,MH5171,Total Benzofluoranthenes - Solid/Sediment - Total,NA,ug/Kg
278,MH5171,Benzo(b)fluoranthene - Solid/Sediment - Total,NA,ug/Kg
279,MH5171,Bis(2-ethylhexyl) phthalate - Water - Total,0.75,ug/L
280,MH5171,p-Cresol - Solid/Sediment - Total,NA,ug/Kg
281,MH5171,Diesel Range Organics - Water - Total,130,ug/L
282,MH5171,Benzo(a)pyrene - Solid/Sediment - Total,NA,ug/Kg
283,MH5171,Lead - Water - Dissolved,0.071,ug/L
284,MH5171,Mercury - Solid/Sediment - Total,NA,ug/Kg
285,MH5171,Benzo(k)fluoranthene - Solid/Sediment - Total,67,ug/Kg
286,MH5171,HPAH - Water - Total,0.071,ug/L
287,MH5171,Anthracene - Solid/Sediment - Total,NA,ug/Kg
288,MH5171,Benz(a)anthracene - Solid/Sediment - Total,81,ug/Kg
289,MH5171,Heavy Fuel Oil - Water - Total,240,ug/L
290,MH5171,"Benzo(g,h,i)perylene - Solid/Sediment - Total",260,ug/Kg
291,MH5171,Pyrene - Water - Total,0.033,ug/L
292,MH5171,Butyl benzyl phthalate - Solid/Sediment - Total,NA,ug/Kg
293,MH5171,Cadmium - Water - Dissolved,0.022,ug/L
294,MH5171,"Dibenzo(a,h)anthracene - Solid/Sediment - Total",NA,ug/Kg
295,MH5171,LPAH - Water - Total,0.049,ug/L
296,PIECOMM_OUT,Lead - Solid/Sediment - Total,230000,ug/Kg
297,PIECOMM_OUT,Copper - Solid/Sediment - Total,222000,ug/Kg
298,PIECOMM_OUT,Zinc - Solid/Sediment - Total,1110000,ug/Kg
299,PIECOMM_OUT,Cadmium - Solid/Sediment - Total,1860,ug/Kg
300,PIECOMM_OUT,Total Phthalate - Water - Total,5.43,ug/L
301,PIECOMM_OUT,Total PAH - Solid/Sediment - Total,2749.6,ug/Kg
302,PIECOMM_OUT,Ortho-phosphate - Water - Dissolved,30,ug/L
303,PIECOMM_OUT,Bis(2-ethylhexyl) phthalate - Solid/Sediment - Total,8220,ug/Kg
304,PIECOMM_OUT,Total Phthalate - Solid/Sediment - Total,8960,ug/Kg
