,locations,parameters,as.numeric.median.out..,data2$new_result_units[1]
702,SNO_LDR,Zinc - Water - Dissolved,25,ug/L
703,SNO_LDR,Fluoranthene - Solid/Sediment - Total,89.4,ug/Kg
704,SNO_LDR,LPAH - Solid/Sediment - Total,43.5,ug/Kg
705,SNO_LDR,Lead - Water - Total,0.5,ug/L
706,SNO_LDR,Total Kjeldahl Nitrogen - Water - Total,431,ug/L
707,SNO_LDR,Cadmium - Water - Total,0.031,ug/L
708,SNO_LDR,Total TPHDx - Water - Total,280,ug/L
709,SNO_LDR,Biochemical Oxygen Demand - Water - Total,NA,ug/L
710,SNO_LDR,"Indeno(1,2,3-cd)pyrene - Solid/Sediment - Total",97.7,ug/Kg
711,SNO_LDR,Total PAH - Water - Total,NA,ug/L
712,SNO_LDR,Total Benzofluoranthenes - Solid/Sediment - Total,NA,ug/Kg
713,SNO_LDR,Benzo(b)fluoranthene - Solid/Sediment - Total,NA,ug/Kg
714,SNO_LDR,Bis(2-ethylhexyl) phthalate - Water - Total,NA,ug/L
715,SNO_LDR,Diesel Range Organics - Water - Total,100,ug/L
716,SNO_LDR,Magnesium - Water - Total,1900,ug/L
717,SNO_LDR,Benzo(a)pyrene - Solid/Sediment - Total,NA,ug/Kg
718,SNO_LDR,Lead - Water - Dissolved,0.052,ug/L
719,SNO_LDR,Mercury - Solid/Sediment - Total,NA,ug/Kg
720,SNO_LDR,Benzo(k)fluoranthene - Solid/Sediment - Total,NA,ug/Kg
721,SNO_LDR,HPAH - Water - Total,NA,ug/L
722,SNO_LDR,Anthracene - Solid/Sediment - Total,NA,ug/Kg
723,SNO_LDR,Heavy Fuel Oil - Water - Total,170,ug/L
724,SNO_LDR,Pyrene - Water - Total,NA,ug/L
725,SNO_LDR,Butyl benzyl phthalate - Solid/Sediment - Total,337,ug/Kg
726,SNO_LDR,Cadmium - Water - Dissolved,0.026,ug/L
727,SNO_LDR,"Dibenzo(a,h)anthracene - Solid/Sediment - Total",NA,ug/Kg
728,SNO_LDR,LPAH - Water - Total,NA,ug/L
